Rk,Nation,Top Team Scorer
W,Greece,Angelos Charisteas - 3
F,Portugal,"Maniche, Cristiano Ronaldo... - 2"
SF,Czechia,Milan Baroš - 5
SF,Netherlands,Ruud van Nistelrooy - 4
QF,England,Wayne Rooney - 4
QF,France,Zinédine Zidane - 3
QF,Sweden,Henrik Larsson - 3
QF,Denmark,Jon Dahl Tomasson - 3
GR,Italy,Antonio Cassano - 2
GR,Spain,"Fernando Morientes, Juan Carlos Valerón - 1"
GR,Russia,
GR,Germany,"Michael Ballack, Torsten Frings - 1"
GR,Croatia,"Igor Tudor, Dado Pršo... - 1"
GR,Latvia,Māris Verpakovskis - 1
GR,Switzerland,Johan Vonlanthen - 1
GR,Bulgaria,Martin Petrov - 1
