Nation,Pld,W,D,L,Pts,APts,GF,AGF,GA,AGA,GD,CS,ACS,YC,AYC,RC,ARC
Total,31,26,5,26,88,2.84,77,2.48,77,2.48,0,19,0.61,122,3.94,3,0.1
Spain,6,5,1,0,16,2.67,12,2.0,3,0.5,+9,3,0.5,8,1.33,0,0.0
Germany,6,4,0,2,12,2.0,10,1.66,7,1.16,+3,2,0.33,7,1.16,1,0.16
Croatia,4,3,1,0,10,2.5,5,1.25,2,0.5,+3,2,0.5,6,1.5,0,0.0
Netherlands,4,3,0,1,9,2.25,10,2.5,4,1.0,+6,2,0.5,5,1.25,0,0.0
Russia,5,3,0,2,9,1.8,7,1.4,8,1.6,−1,2,0.4,10,2.0,0,0.0
Turkey,5,2,1,2,7,1.4,8,1.6,9,1.8,−1,0,0.0,16,3.2,1,0.2
Portugal,4,2,0,2,6,1.5,7,1.75,6,1.5,+1,1,0.25,8,2.0,0,0.0
Italy,4,1,2,1,5,1.25,3,0.75,4,1.0,−1,2,0.5,9,2.25,0,0.0
Sweden,3,1,0,2,3,1.0,3,1.0,4,1.33,−1,1,0.33,3,1.0,0,0.0
Czech Republic,3,1,0,2,3,1.0,4,1.33,6,2.0,−2,1,0.33,4,1.33,0,0.0
Switzerland,3,1,0,2,3,1.0,3,1.0,3,1.0,0,1,0.33,8,2.66,0,0.0
Romania,3,0,2,1,2,0.66,1,0.33,3,1.0,−2,1,0.33,7,2.33,0,0.0
Austria,3,0,1,2,1,0.33,1,0.33,3,1.0,−2,0,0.0,8,2.66,0,0.0
France,3,0,1,2,1,0.33,1,0.33,6,2.0,−5,1,0.33,7,2.33,1,0.33
Poland,3,0,1,2,1,0.33,1,0.33,4,1.33,−3,0,0.0,8,2.66,0,0.0
Greece,3,0,0,3,0,0.0,1,0.33,6,2.0,−5,0,0.0,8,2.66,0,0.0
