Nation,Pld,W,D,L,Pts,APts,GF,AGF,GA,AGA,GD,AGD,CS,ACS,YC,AYC,RC,ARC
Total,51(1),37,14(2),37,139,1.36,108,1.06,108,1.06,0,0.00,34,0.33,205,2.01,3,0.03
France,7,5,1,1,16,2.29,13,1.86,5,0.71,+8,1.14,3,0.43,13,1.86,0,0.0
Portugal,7,3,4,0,13,1.86,9,1.29,5,0.71,+4,0.57,4,0.57,13,1.86,0,0.0
Wales,6,4,0,2,12,2.0,10,1.67,6,1.0,+4,0.67,2,0.33,11,1.83,0,0.0
Germany,6,3,2,1,11,1.83,7,1.17,3,0.5,+4,0.67,4,0.67,11,1.83,0,0.0
Italy,5,3,1,1,10,2.0,6,1.2,2,0.4,+4,0.80,3,0.6,18,3.6,0,0.0
Poland,5,2,3,0,9,1.8,4,0.8,2,0.4,+2,0.40,3,0.6,11,2.2,0,0.0
Belgium,5,3,0,2,9,1.8,9,1.8,5,1.0,+4,0.80,3,0.6,9,1.8,0,0.0
Iceland,5,2,2,1,8,1.6,8,1.6,9,1.8,−1,−0.20,0,0.0,12,2.4,0,0.0
Croatia,4,2,1,1,7,1.75,5,1.25,4,1.0,+1,0.25,1,0.25,8,2.0,0,0.0
Switzerland,4,1,3,0,6,1.5,3,0.75,2,0.5,+1,0.25,2,0.5,6,1.5,0,0.0
Spain,4,2,0,2,6,1.5,5,1.25,4,1.0,+1,0.25,2,0.5,5,1.25,0,0.0
England,4,1,2,1,5,1.25,4,1.0,4,1.0,0,0.00,1,0.25,3,0.75,0,0.0
Hungary,4,1,2,1,5,1.25,6,1.5,8,2.0,−2,−0.50,1,0.25,12,3.0,0,0.0
Slovakia,4,1,1,2,4,1.0,3,0.75,6,1.5,−3,−0.75,1,0.25,9,2.25,0,0.0
Republic of Ireland,4,1,1,2,4,1.0,3,0.75,6,1.5,−3,−0.75,1,0.25,8,2.0,1,0.25
Turkey,3,1,0,2,3,1.0,2,0.67,4,1.33,−2,−0.67,1,0.33,7,2.33,0,0.0
Albania,3,1,0,2,3,1.0,1,0.33,3,1.0,−2,−0.67,1,0.33,10,3.33,1,0.33
Northern Ireland,4,1,0,3,3,0.75,2,0.5,3,0.75,−1,−0.25,1,0.25,6,1.5,0,0.0
Romania,3,0,1,2,1,0.33,2,0.67,4,1.33,−2,−0.67,0,0.0,10,3.33,0,0.0
Sweden,3,0,1,2,1,0.33,1,0.33,3,1.0,−2,−0.67,0,0.0,4,1.33,0,0.0
Austria,3,0,1,2,1,0.33,1,0.33,4,1.33,−3,−1.00,1,0.33,7,2.33,1,0.33
Czech Republic,3,0,1,2,1,0.33,2,0.67,5,1.67,−3,−1.00,0,0.0,5,1.67,0,0.0
Russia,3,0,1,2,1,0.33,2,0.67,6,2.0,−4,−1.33,0,0.0,2,0.67,0,0.0
Ukraine,3,0,0,3,0,0.0,0,0.0,5,1.67,−5,−1.67,0,0.0,5,1.67,0,0.0
